contest_key,date,title,location_str,city,state,state_full,prize,cbj_percentage,is_championship,is_standard,url
1261,2016-06-03,Big Blue BBQ Championship,"Marysville, KS",Marysville,KS,Kansas,10000.0,99.0,True,True,http://www.kcbs.us/event/6274/big-blue-bbq-championship
1262,2016-06-03,Poor Que,"Montello, WI",Montello,WI,Wisconsin,75.0,,True,True,http://www.kcbs.us/event/6190/poor-que
1263,2016-06-03,5th Annual Smokin on the Lake,"Monroe City, MO",Monroe City,MO,Missouri,4825.0,95.0,True,False,http://www.kcbs.us/event/6137/5th-annual-smokin-on-the-lake
1264,2016-06-03,Hott Butts BBQ Contest,"Boonville, MO",Boonville,MO,Missouri,5250.0,100.0,True,True,http://www.kcbs.us/event/6138/hott-butts-bbq-contest
1265,2016-06-03,Que for the Troops,"Levittown, PA",Levittown,PA,Pennsylvania,10500.0,100.0,True,False,http://www.kcbs.us/event/6337/que-for-the-troops
1266,2016-06-03,Hog Happenin' BBQ & Bike Fest,"Lincolnton, NC",Lincolnton,NC,North Carolina,8600.0,100.0,True,False,http://www.kcbs.us/event/6285/hog-happenin-bbq-bike-fest
1267,2016-06-03,Royal Gorge Holy Smoke BBQ Showdown,"Canon City, CO",Canon City,CO,Colorado,10000.0,,True,True,http://www.kcbs.us/event/6332/royal-gorge-holy-smoke-bbq-showdown
1268,2016-06-03,Original SD BBQ Championships,"Huron, SD",Huron,SD,South Dakota,11900.0,100.0,True,True,http://www.kcbs.us/event/6088/original-sd-bbq-championships
1269,2016-06-03,Variety Children's Charity BBQ Bash,"Memphis, TN",Memphis,TN,Tennessee,7000.0,,True,True,http://www.kcbs.us/event/6150/variety-childrens-charity-bbq-bash
1270,2016-06-03,Keepers of the Fire BBQ Contest,"Mayetta, KS",Mayetta,KS,Kansas,10425.0,99.0,True,False,http://www.kcbs.us/event/6443/keepers-of-the-fire-bbq-contest
1271,2016-06-03,Smokin in Steele,"Owatonna, MN",Owatonna,MN,Minnesota,10175.0,100.0,True,False,http://www.kcbs.us/event/5919/smokin-in-steele
1272,2016-06-04,Granite State BBQ Championship,"Hancock, NH",Hancock,NH,New Hampshire,3000.0,100.0,True,True,http://www.kcbs.us/event/6478/granite-state-bbq-championship
1273,2016-06-10,KY Fort Harrod Beef Festival Grill-off(COMPETITOR'S SERIES),"Harrodsburg, KY",Harrodsburg,KY,Kentucky,11000.0,100.0,False,False,http://www.kcbs.us/event/6611/ky-fort-harrod-beef-festival-grill-offcompetitors-series
1274,2016-06-10,Smoke Out Hunger BBQ Challenge,"Kansas City, KS",Kansas City,KS,Kansas,5500.0,99.0,True,True,http://www.kcbs.us/event/6535/smoke-out-hunger-bbq-challenge
1275,2016-06-10,*Mankato Cookout Day 1,"Mankato, MN",Mankato,MN,Minnesota,7500.0,100.0,True,True,http://www.kcbs.us/event/6458/mankato-cookout-day-1
1276,2016-06-10,"Boats, Bands, & BBQ","Pueblo, CO",Pueblo,CO,Colorado,10000.0,,True,False,http://www.kcbs.us/event/6247/boats-bands-bbq
1277,2016-06-10,Califorina Honey Harvest Festival and BBQ Championship,"Fillmore, CA",Fillmore,CA,California,8000.0,100.0,True,True,http://www.kcbs.us/event/6229/califorina-honey-harvest-festival-and-bbq-championship
1278,2016-06-10,ELF Khurafeh Shrine BBQ Competition and Music Festival,"Clio, MI",Clio,MI,Michigan,9000.0,100.0,True,True,http://www.kcbs.us/event/6084/elf-khurafeh-shrine-bbq-competition-and-music-festival
1279,2016-06-10,Mocklahoma Ribs & Roll BBQ Championship,"Okmulgee, OK",Okmulgee,OK,Oklahoma,10200.0,100.0,True,True,http://www.kcbs.us/event/6219/mocklahoma-ribs-roll-bbq-championship
1280,2016-06-10,Delta Smoke BBQ Contest,"Wynne , AR",Wynne,AR,Arkansas,10000.0,100.0,True,True,http://www.kcbs.us/event/6070/delta-smoke-bbq-contest
1281,2016-06-10,Blue Ridge BBQ & Music Festival,"Tryon, NC",Tryon,NC,North Carolina,15950.0,100.0,True,False,http://www.kcbs.us/event/6198/blue-ridge-bbq-music-festival
1282,2016-06-10,Marietta River City BBQ,"Marietta, OH",Marietta,OH,Ohio,3000.0,,True,True,http://www.kcbs.us/event/5976/marietta-river-city-bbq
1283,2016-06-10,Sam's Club National BBQ Tour,"Harrisburg, PA",Harrisburg,PA,Pennsylvania,10000.0,,True,True,http://www.kcbs.us/event/6386/sams-club-national-bbq-tour
1284,2016-06-10,The Historic New Castle Colonial BBQ Competition at Battery Park,"New Castle, DE",New Castle,DE,Delaware,11000.0,100.0,True,False,http://www.kcbs.us/event/6175/the-historic-new-castle-colonial-bbq-competition-at-battery-park
1285,2016-06-10,Fire On the Frontier BBQ Classic,"Hays, KS",Hays,KS,Kansas,8500.0,95.0,True,True,http://www.kcbs.us/event/6164/fire-on-the-frontier-bbq-classic
1286,2016-06-10,Fitzgerald Pig Pickin,"Fitzgerald, GA",Fitzgerald,GA,Georgia,12000.0,,True,True,http://www.kcbs.us/event/6126/fitzgerald-pig-pickin
1287,2016-06-11,*Mankato Cookout Day 2 and( Back Yard),"Mankato, MN",Mankato,MN,Minnesota,7500.0,100.0,True,False,http://www.kcbs.us/event/6459/mankato-cookout-day-2-and-back-yard
1288,2016-06-11,Sun BBQ Fest,"Uncasville, CT",Uncasville,CT,Connecticut,25000.0,100.0,True,False,http://www.kcbs.us/event/6053/sun-bbq-fest
1289,2016-06-11,Tonganoxie Days BBQ Blowout,"Tonganoxie, KS",Tonganoxie,KS,Kansas,5000.0,98.0,True,True,http://www.kcbs.us/event/6561/tonganoxie-days-bbq-blowout
1290,2016-06-11,Ribs & Rockets(Competitor Series/Invite Only/ Judges Full),"Sacramento, CA",Sacramento,CA,California,0.0,,False,True,http://www.kcbs.us/event/6575/ribs-rocketscompetitor-seriesinvite-only-judges-full
1291,2016-06-17,Knights of Columbus BBQ Smoke Off,"Kansas City, KS",Kansas City,KS,Kansas,1780.0,99.0,True,False,http://www.kcbs.us/event/6492/knights-of-columbus-bbq-smoke-off
1292,2016-06-17,Treasure Island BBQ/ Steak Food Fest,"Red Wing, MN",Red Wing,MN,Minnesota,0.0,100.0,True,False,http://www.kcbs.us/event/6469/treasure-island-bbq-steak-food-fest
1293,2016-06-17,State Center Rose Festival KCBS BBQ Competition (Judges Full),"State Center , IA",State Center,IA,Iowa,5750.0,100.0,True,True,http://www.kcbs.us/event/6207/state-center-rose-festival-kcbs-bbq-competition-judges-full
1294,2016-06-17,*Eureka BBQ Bash,"Eureka, KS",Eureka,KS,Kansas,5000.0,100.0,True,False,http://www.kcbs.us/event/6208/eureka-bbq-bash
1295,2016-06-17,*Hog Capital Challenge - JUDGES FULL,"Kewanee, IL",Kewanee,IL,Illinois,6000.0,100.0,True,False,http://www.kcbs.us/event/6477/hog-capital-challenge---judges-full
1296,2016-06-17,The Desoto Shrine Club 8th Annual BBQ Cook Off,"Hernando, MS",Hernando,MS,Mississippi,8000.0,100.0,True,True,http://www.kcbs.us/event/6147/the-desoto-shrine-club-8th-annual-bbq-cook-off
1297,2016-06-17,Smoke on the water-Annual Carlton Landing BBQ Competition,"Carlton Landing, OK",Carlton Landing,OK,Oklahoma,6000.0,95.0,True,True,http://www.kcbs.us/event/6297/smoke-on-the-water-annual-carlton-landing-bbq-competition
1298,2016-06-17,Custer County Community Table/Miles City Cowtown Cook-off,"Miles City, MT",Miles City,MT,Montana,10250.0,100.0,True,True,http://www.kcbs.us/event/6186/custer-county-community-tablemiles-city-cowtown-cook-off
1299,2016-06-17,Sam's Club National BBQ Tour,"Hendersonville, TN",Hendersonville,TN,Tennessee,10000.0,,True,True,http://www.kcbs.us/event/6359/sams-club-national-bbq-tour
1300,2016-06-17,Hog and Steer Barbecue Competition and Festival,"Oconomowoc, WI",Oconomowoc,WI,Wisconsin,5000.0,100.0,True,True,http://www.kcbs.us/event/6184/hog-and-steer-barbecue-competition-and-festival
1301,2016-06-17,23rd Annual Colorado BBQ Challenge,"Frisco, CO",Frisco,CO,Colorado,13050.0,100.0,True,False,http://www.kcbs.us/event/6093/23rd-annual-colorado-bbq-challenge
